school,sport,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,attendance,rank,gametime
michigan,basketball,2017-11-13,REG,Central Michigan,MAC,W,72,65,,2,0,W 2,Crisler Arena,0.0,-,7:00p
michigan,basketball,2017-11-16,REG,Southern Mississippi,CUSA,W,61,47,,3,0,W 3,Crisler Arena,0.0,-,7:00p
michigan,basketball,2017-11-20,REG,Louisiana State,SEC,L,75,77,,3,1,L 1,Lahaina Civic Center,0.0,-,11:00p
michigan,basketball,2017-11-21,REG,Chaminade,,W,102,64,,4,1,W 1,Lahaina Civic Center,0.0,-,8:00p
michigan,basketball,2017-11-22,REG,Virginia Commonwealth,A-10,W,68,60,,5,1,W 2,Lahaina Civic Center,0.0,-,5:00p
michigan,basketball,2017-11-26,REG,UC Riverside,Big West,W,87,42,,6,1,W 3,Crisler Arena,0.0,-,4:00p
michigan,basketball,2017-11-29,REG,North Carolina (13),ACC,L,71,86,,6,2,L 1,Dean Smith Center,0.0,-,7:30p
michigan,basketball,2017-12-02,REG,Indiana,Big Ten,W,69,55,,7,2,W 1,Crisler Arena,0.0,-,12:30p
michigan,basketball,2017-12-04,REG,Ohio State,Big Ten,L,62,71,,7,3,L 1,Value City Arena,0.0,-,6:30p
michigan,basketball,2017-12-09,REG,UCLA,Pac-12,W,78,69,OT,8,3,W 1,Crisler Arena,0.0,-,12:00p
michigan,basketball,2017-12-12,REG,Texas,Big 12,W,59,52,,9,3,W 2,Frank Erwin Center,0.0,-,9:00p
michigan,basketball,2017-12-16,REG,Detroit Mercy,Horizon,W,90,58,,10,3,W 3,Little Caesars Arena,0.0,-,12:00p
michigan,basketball,2017-12-21,REG,Alabama A&M,SWAC,W,97,47,,11,3,W 4,Crisler Arena,0.0,-,9:00p
michigan,basketball,2017-12-30,REG,Jacksonville,A-Sun,W,76,51,,12,3,W 5,Crisler Arena,0.0,-,6:00p
michigan,basketball,2018-01-02,REG,Iowa,Big Ten,W,75,68,,13,3,W 6,Carver-Hawkeye Arena,0.0,-,7:00p
michigan,basketball,2018-01-06,REG,Illinois,Big Ten,W,79,69,,14,3,W 7,Crisler Arena,0.0,-,12:00p
michigan,basketball,2018-01-09,REG,Purdue (5),Big Ten,L,69,70,,14,4,L 1,Crisler Arena,0.0,-,9:00p
michigan,basketball,2018-01-13,REG,Michigan State (4),Big Ten,W,82,72,,15,4,W 1,Breslin Events Center,0.0,-,12:00p
