game_id,school,sport,game_dt,season_type,opponent,result,team_points,opp_points,ot,rank,opponent_rank,end_inc_window,attendance
838,michigan state,basketball,2015-03-01 16:00:00,regular,Wisconsin (5),L,61,68,,-,5.0,2015-03-02 02:00:00,
839,michigan state,basketball,2015-03-04 20:00:00,regular,Purdue,W,72,66,,-,,2015-03-05 06:00:00,
840,michigan state,basketball,2015-03-07 12:00:00,regular,Indiana,W,74,72,,-,,2015-03-07 22:00:00,
841,michigan state,basketball,2015-03-13 21:15:00,CTOURN,Ohio State,W,76,67,,-,,2015-03-14 07:15:00,
842,michigan state,basketball,2015-03-14 15:25:00,CTOURN,Maryland (8),W,62,58,,-,8.0,2015-03-15 01:25:00,
843,michigan state,basketball,2015-03-15 15:30:00,CTOURN,Wisconsin (6),L,69,80,OT,-,6.0,2015-03-16 01:30:00,
844,michigan state,basketball,2015-03-20 12:40:00,NCAA,Georgia,W,70,63,,,,2015-03-20 22:40:00,
845,michigan state,basketball,2015-03-22 12:10:00,NCAA,Virginia (6),W,60,54,,,6.0,2015-03-22 22:10:00,
846,michigan state,basketball,2015-03-27 22:16:00,NCAA,Oklahoma (13),W,62,58,,,13.0,2015-03-28 08:16:00,
847,michigan state,basketball,2015-03-29 14:20:00,NCAA,Louisville (17),W,76,70,OT,,17.0,2015-03-30 00:20:00,
848,michigan state,basketball,2015-04-04 18:09:00,NCAA,Duke (4),L,61,81,,,4.0,2015-04-05 04:09:00,
849,michigan state,basketball,2015-11-13 19:00:00,regular,Florida Atlantic,W,82,55,,13,,2015-11-14 05:00:00,
850,michigan state,basketball,2015-11-17 22:00:00,regular,Kansas (4),W,79,73,,13,4.0,2015-11-18 08:00:00,
851,michigan state,basketball,2015-11-20 19:00:00,regular,Arkansas-Pine Bluff,W,92,46,,13,,2015-11-21 05:00:00,
852,michigan state,basketball,2015-11-23 19:00:00,regular,Eastern Michigan,W,89,65,,3,,2015-11-24 05:00:00,
853,michigan state,basketball,2015-11-26 18:30:00,regular,Boston College,W,99,68,,3,,2015-11-27 04:30:00,
854,michigan state,basketball,2015-11-27 17:30:00,regular,Boise State,W,77,67,,3,,2015-11-28 03:30:00,
855,michigan state,basketball,2015-11-29 22:00:00,regular,Providence,W,77,64,,3,,2015-11-30 08:00:00,
856,michigan state,basketball,2015-12-02 19:15:00,regular,Louisville (24),W,71,67,,3,24.0,2015-12-03 05:15:00,
857,michigan state,basketball,2015-12-05 12:00:00,regular,Binghamton,W,76,33,,3,,2015-12-05 22:00:00,
858,michigan state,basketball,2015-12-09 19:00:00,regular,Maryland-Eastern Shore,W,78,35,,1,,2015-12-10 05:00:00,
859,michigan state,basketball,2015-12-12 18:00:00,regular,Florida,W,58,52,,1,,2015-12-13 04:00:00,
860,michigan state,basketball,2015-12-19 12:30:00,regular,Northeastern,W,78,58,,1,,2015-12-19 22:30:00,
861,michigan state,basketball,2015-12-22 19:00:00,regular,Oakland,W,99,93,OT,1,,2015-12-23 05:00:00,
862,michigan state,basketball,2015-12-29 21:00:00,regular,Iowa,L,70,83,,1,,2015-12-30 07:00:00,
863,michigan state,basketball,2016-01-02 15:00:00,regular,Minnesota,W,69,61,,1,,2016-01-03 01:00:00,
864,michigan state,basketball,2016-01-07 21:00:00,regular,Illinois,W,79,54,,5,,2016-01-08 07:00:00,
865,michigan state,basketball,2016-01-10 12:00:00,regular,Penn State,W,92,65,,5,,2016-01-10 22:00:00,
866,michigan state,basketball,2016-01-14 19:00:00,regular,Iowa (16),L,59,76,,4,16.0,2016-01-15 05:00:00,
867,michigan state,basketball,2016-01-17 13:30:00,regular,Wisconsin,L,76,77,,4,,2016-01-17 23:30:00,
868,michigan state,basketball,2016-01-20 18:30:00,regular,Nebraska,L,71,72,,11,,2016-01-21 04:30:00,
869,michigan state,basketball,2016-01-23 18:30:00,regular,Maryland (7),W,74,65,,11,7.0,2016-01-24 04:30:00,
870,michigan state,basketball,2016-01-28 21:00:00,regular,Northwestern,W,76,45,,12,,2016-01-29 07:00:00,
