game_id,school,sport,start_dt,season_type,opponent,result,team_points,opp_points,ot,rank,opponent_rank,end_inc_window,attendance,venue,excitement_index,incident_id,offense_id,offense_name,incident_date
198,michigan state,football,2014-10-04 20:00:00,regular,nebraska,1,27,22,0,10.0,19.0,2014-10-05 07:00:00,75923.0,Spartan Stadium,2.88541559739999,73417870.0,79474958.0,Theft From Building,2014-10-05 00:00:00
198,michigan state,football,2014-10-04 20:00:00,regular,nebraska,1,27,22,0,10.0,19.0,2014-10-05 07:00:00,75923.0,Spartan Stadium,2.88541559739999,73417800.0,79473487.0,Credit Card/Automated Teller Machine Fraud,2014-10-04 22:00:00
198,michigan state,football,2014-10-04 20:00:00,regular,nebraska,1,27,22,0,10.0,19.0,2014-10-05 07:00:00,75923.0,Spartan Stadium,2.88541559739999,73417800.0,79473486.0,Theft From Building,2014-10-04 22:00:00
198,michigan state,football,2014-10-04 20:00:00,regular,nebraska,1,27,22,0,10.0,19.0,2014-10-05 07:00:00,75923.0,Spartan Stadium,2.88541559739999,73417796.0,79473485.0,Simple Assault,2014-10-05 00:00:00
198,michigan state,football,2014-10-04 20:00:00,regular,nebraska,1,27,22,0,10.0,19.0,2014-10-05 07:00:00,75923.0,Spartan Stadium,2.88541559739999,73417795.0,79470735.0,Drug Equipment Violations,2014-10-04 21:00:00
198,michigan state,football,2014-10-04 20:00:00,regular,nebraska,1,27,22,0,10.0,19.0,2014-10-05 07:00:00,75923.0,Spartan Stadium,2.88541559739999,73417795.0,79470734.0,Drug/Narcotic Violations,2014-10-04 21:00:00
317,michigan,basketball,2011-01-18 21:00:00,regular,northwestern,0,60,74,0,-,,2011-01-19 07:00:00,,,,,,,
546,michigan,basketball,2017-03-12 15:00:00,CTOURN,wisconsin (24),1,71,56,0,-,24.0,2017-03-13 01:00:00,,,,90103578.0,112107046.0,Theft From Building,2017-03-13 00:00:00
600,michigan,basketball,2018-12-08 12:00:00,regular,south carolina,1,89,78,0,5,,2018-12-08 22:00:00,,,,102904633.0,126734497.0,False Pretenses/Swindle/Confidence Game,2018-12-08 14:00:00
600,michigan,basketball,2018-12-08 12:00:00,regular,south carolina,1,89,78,0,5,,2018-12-08 22:00:00,,,,102906324.0,126734499.0,Extortion/Blackmail,2018-12-08 19:00:00
638,michigan-state,basketball,2009-12-19 12:00:00,regular,purdue-fort wayne,1,80,58,0,12,,2009-12-19 22:00:00,,,,,,,
805,michigan-state,basketball,2014-03-16 15:30:00,CTOURN,michigan (8),1,69,55,0,22,8.0,2014-03-17 01:30:00,,,,,,,
344,michigan,basketball,2011-12-17 12:00:00,regular,alabama a&m,1,87,57,0,20,,2011-12-17 22:00:00,,,,59276342.0,62422801.0,Theft From Building,2011-12-17 16:00:00
344,michigan,basketball,2011-12-17 12:00:00,regular,alabama a&m,1,87,57,0,20,,2011-12-17 22:00:00,,,,59276345.0,62420378.0,Destruction/Damage/Vandalism of Property,2011-12-17 14:00:00
349,michigan,basketball,2012-01-08 13:30:00,regular,wisconsin (18),1,59,41,0,16,18.0,2012-01-08 23:30:00,,,,64798309.0,68765176.0,Drug/Narcotic Violations,2012-01-08 22:00:00
424,michigan,basketball,2014-01-22 19:00:00,regular,iowa (10),1,75,67,0,21,10.0,2014-01-23 05:00:00,,,,,,,
657,michigan-state,basketball,2010-03-04 19:00:00,regular,penn state,1,67,65,0,11,,2010-03-05 05:00:00,,,,,,,
975,michigan-state,basketball,2019-02-02 18:00:00,regular,indiana,0,75,79,1,6,,2019-02-03 04:00:00,,,,,,,
123,michigan,football,2019-09-28 12:00:00,regular,rutgers,1,52,0,0,20.0,,2019-09-28 23:00:00,110662.0,Michigan Stadium,0.172601285399999,117832021.0,142961660.0,False Pretenses/Swindle/Confidence Game,2019-09-28 13:00:00
123,michigan,football,2019-09-28 12:00:00,regular,rutgers,1,52,0,0,20.0,,2019-09-28 23:00:00,110662.0,Michigan Stadium,0.172601285399999,117837811.0,142961166.0,Simple Assault,2019-09-28 20:00:00
342,michigan,basketball,2011-12-10 16:00:00,regular,oakland,1,90,80,0,20,,2011-12-11 02:00:00,,,,59276323.0,62422563.0,Theft From Building,2011-12-10 22:00:00
373,michigan,basketball,2012-11-27 19:30:00,regular,nc state (18),1,79,72,0,3,18.0,2012-11-28 05:30:00,,,,,,,
379,michigan,basketball,2012-12-20 20:30:00,regular,eastern michigan,1,93,54,0,2,,2012-12-21 06:30:00,,,,64808987.0,68768712.0,Theft From Building,2012-12-21 04:00:00
454,michigan,basketball,2014-12-20 12:00:00,regular,southern methodist,0,51,62,0,-,,2014-12-20 22:00:00,,,,74956774.0,81999935.0,Theft From Building,2014-12-20 14:00:00
832,michigan-state,basketball,2015-02-07 12:00:00,regular,illinois,0,54,59,0,-,,2015-02-07 22:00:00,,,,,,,
965,michigan-state,basketball,2018-12-21 19:00:00,regular,oakland,1,99,69,0,10,,2018-12-22 05:00:00,,,,,,,
971,michigan-state,basketball,2019-01-17 20:00:00,regular,nebraska,1,70,64,0,6,,2019-01-18 06:00:00,,,,,,,
158,michigan state,football,2011-09-17 15:30:00,regular,notre dame,0,13,31,0,15.0,,2011-09-18 02:30:00,0.0,Notre Dame Stadium,2.61483388758182,60148558.0,62383378.0,Drug/Narcotic Violations,2011-09-17 23:00:00
158,michigan state,football,2011-09-17 15:30:00,regular,notre dame,0,13,31,0,15.0,,2011-09-18 02:30:00,0.0,Notre Dame Stadium,2.61483388758182,60148557.0,62388427.0,Theft From Motor Vehicle,2011-09-17 17:00:00
199,michigan state,football,2014-10-11 15:30:00,regular,purdue,1,45,31,0,8.0,,2014-10-12 02:30:00,40217.0,Ross-Ade Stadium,2.1134404437,,,,
242,michigan state,football,2017-11-25 16:00:00,regular,rutgers,1,40,7,0,16.0,,2017-11-26 03:00:00,35021.0,High Point Solutions Stadium,1.7562760463,,,,
270,michigan,basketball,2009-11-27 12:00:00,regular,marquette,0,65,79,0,15,,2009-11-27 22:00:00,,,,,,,
284,michigan,basketball,2010-01-20 20:30:00,regular,wisconsin (18),0,48,54,0,-,18.0,2010-01-21 06:30:00,,,,,,,
690,michigan-state,basketball,2011-02-19 21:00:00,regular,illinois,1,61,57,0,-,,2011-02-20 07:00:00,,,,,,,
135,michigan state,football,2009-09-26 12:00:00,regular,wisconsin,0,30,38,0,,,2009-09-26 23:00:00,0.0,Camp Randall Stadium,,,,,
248,michigan state,football,2018-10-13 15:30:00,regular,penn state,1,21,17,0,,8.0,2018-10-14 02:30:00,0.0,Beaver Stadium,7.1749069096,101779773.0,125448936.0,Drug/Narcotic Violations,2018-10-14 00:00:00
248,michigan state,football,2018-10-13 15:30:00,regular,penn state,1,21,17,0,,8.0,2018-10-14 02:30:00,0.0,Beaver Stadium,7.1749069096,114293208.0,139518876.0,Motor Vehicle Theft,2018-10-13 23:00:00
