,school,sport,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,attendance,rank,gametime,Game String,US State,start_dt,opponent_rank,end_inc_window
149,michigan,basketball,2013-12-14,REG,Arizona (1),Pac-12,L,70,72,,6,4,L 1,Crisler Arena,0.0,-,,Arizona on December 14 12:00 PM,MICH.,2013-12-14 12:00:00,1,2013-12-14 22:00:00
150,michigan,basketball,2013-12-21,REG,Stanford,Pac-12,W,68,65,,7,4,W 1,Barclays Center,0.0,-,,Stanford on December 21 8:30 PM,N.Y.,2013-12-21 20:30:00,,2013-12-22 06:30:00
151,michigan,basketball,2013-12-28,REG,Holy Cross,Patriot,W,88,66,,8,4,W 2,Crisler Arena,0.0,-,,Holy Cross on December 28 6:30 PM,MICH.,2013-12-28 18:30:00,,2013-12-29 04:30:00
152,michigan,basketball,2014-01-02,REG,Minnesota,Big Ten,W,63,60,,9,4,W 3,Williams Arena,0.0,-,,Minnesota on January 2 6:00 PM,MINN.,2014-01-02 19:00:00,,2014-01-03 05:00:00
153,michigan,basketball,2014-01-05,REG,Northwestern,Big Ten,W,74,51,,10,4,W 4,Crisler Arena,0.0,-,,Northwestern on January 5 12:00 PM,MICH.,2014-01-05 12:00:00,,2014-01-05 22:00:00
154,michigan,basketball,2014-01-09,REG,Nebraska,Big Ten,W,71,70,,11,4,W 5,Pinnacle Bank Arena,0.0,-,,Nebraska on January 9 8:00 PM,NEB.,2014-01-09 21:00:00,,2014-01-10 07:00:00
155,michigan,basketball,2014-01-14,REG,Penn State,Big Ten,W,80,67,,12,4,W 6,Crisler Arena,0.0,-,,Penn State on January 14 8:00 PM,MICH.,2014-01-14 20:00:00,,2014-01-15 06:00:00
156,michigan,basketball,2014-01-18,REG,Wisconsin (3),Big Ten,W,77,70,,13,4,W 7,Kohl Center,0.0,-,,Wisconsin on January 18 5:00 PM,WIS.,2014-01-18 18:00:00,3,2014-01-19 04:00:00
157,michigan,basketball,2014-01-22,REG,Iowa (10),Big Ten,W,75,67,,14,4,W 8,Crisler Arena,0.0,21,,Iowa on January 22 7:00 PM,MICH.,2014-01-22 19:00:00,10,2014-01-23 05:00:00
158,michigan,basketball,2014-01-25,REG,Michigan State (3),Big Ten,W,80,75,,15,4,W 9,Breslin Events Center,0.0,21,,Michigan State on January 25 7:00 PM,MICH.,2014-01-25 19:00:00,3,2014-01-26 05:00:00
159,michigan,basketball,2014-01-30,REG,Purdue,Big Ten,W,75,66,,16,4,W 10,Crisler Arena,0.0,10,,Purdue on January 30 9:00 PM,MICH.,2014-01-30 21:00:00,,2014-01-31 07:00:00
160,michigan,basketball,2014-02-02,REG,Indiana,Big Ten,L,52,63,,16,5,L 1,Assembly Hall,0.0,10,,Indiana on February 2 1:00 PM,IND.,2014-02-02 13:00:00,,2014-02-02 23:00:00
161,michigan,basketball,2014-02-05,REG,Nebraska,Big Ten,W,79,50,,17,5,W 1,Crisler Arena,0.0,10,,Nebraska on February 5 6:30 PM,MICH.,2014-02-05 18:30:00,,2014-02-06 04:30:00
162,michigan,basketball,2014-02-08,REG,Iowa (17),Big Ten,L,67,85,,17,6,L 1,Carver-Hawkeye Arena,0.0,10,,Iowa on February 8 1:00 PM,IOWA,2014-02-08 14:00:00,17,2014-02-09 00:00:00
163,michigan,basketball,2014-02-11,REG,Ohio State (22),Big Ten,W,70,60,,18,6,W 1,Value City Arena,0.0,15,,Ohio State on February 11 9:00 PM,OHIO,2014-02-11 21:00:00,22,2014-02-12 07:00:00
164,michigan,basketball,2014-02-16,REG,Wisconsin (21),Big Ten,L,62,75,,18,7,L 1,Crisler Arena,0.0,15,,Wisconsin on February 16 1:00 PM,MICH.,2014-02-16 13:00:00,21,2014-02-16 23:00:00
165,michigan,basketball,2014-02-23,REG,Michigan State (13),Big Ten,W,79,70,,19,7,W 1,Crisler Arena,0.0,20,,Michigan State on February 23 12:00 PM,MICH.,2014-02-23 12:00:00,13,2014-02-23 22:00:00
166,michigan,basketball,2014-02-26,REG,Purdue,Big Ten,W,77,76,OT,20,7,W 2,Mackey Arena,0.0,16,,Purdue on February 26 7:00 PM,IND.,2014-02-26 19:00:00,,2014-02-27 05:00:00
167,michigan,basketball,2014-03-01,REG,Minnesota,Big Ten,W,66,56,,21,7,W 3,Crisler Arena,0.0,16,,Minnesota on March 1 6:00 PM,MICH.,2014-03-01 18:00:00,,2014-03-02 04:00:00
168,michigan,basketball,2014-03-04,REG,Illinois,Big Ten,W,84,53,,22,7,W 4,Assembly Hall,0.0,12,,Illinois on March 4 6:00 PM,ILL.,2014-03-04 19:00:00,,2014-03-05 05:00:00
169,michigan,basketball,2014-03-08,REG,Indiana,Big Ten,W,84,80,,23,7,W 5,Crisler Arena,0.0,12,,Indiana on March 8 6:00 PM,MICH.,2014-03-08 18:00:00,,2014-03-09 04:00:00
170,michigan,basketball,2014-03-14,CTOURN,Illinois,Big Ten,W,64,63,,24,7,W 6,Conseco Fieldhouse,0.0,8,,Illinois (#9) on March 14 12:00 PM,IND.,2014-03-14 12:00:00,,2014-03-14 22:00:00
171,michigan,basketball,2014-03-15,CTOURN,Ohio State (24),Big Ten,W,72,69,,25,7,W 7,,0.0,8,,Ohio State (#5) on March 15 1:40 PM,IND.,2014-03-15 13:40:00,24,2014-03-15 23:40:00
172,michigan,basketball,2014-03-16,CTOURN,Michigan State (22),Big Ten,L,55,69,,25,8,L 1,Conseco Fieldhouse,0.0,8,,Michigan State (#3) on March 16 3:30 PM,IND.,2014-03-16 15:30:00,22,2014-03-17 01:30:00
173,michigan,basketball,2014-03-20,NCAA,Wofford,Southern,W,57,40,,26,8,W 1,Bradley Center,0.0,,,Wofford (#15) on March 20 6:10 PM,WIS.,2014-03-20 19:10:00,,2014-03-21 05:10:00
174,michigan,basketball,2014-03-22,NCAA,Texas,Big 12,W,79,65,,27,8,W 2,Bradley Center,0.0,,,Texas (#7) on March 22 4:15 PM,WIS.,2014-03-22 17:15:00,,2014-03-23 03:15:00
175,michigan,basketball,2014-03-28,NCAA,Tennessee,SEC,W,73,71,,28,8,W 3,Lucas Oil Stadium,0.0,,,Tennessee (#11) on March 28 7:15 PM,IND.,2014-03-28 19:15:00,,2014-03-29 05:15:00
176,michigan,basketball,2014-03-30,NCAA,Kentucky,SEC,L,72,75,,28,9,L 1,Lucas Oil Stadium,0.0,,,Kentucky (#8) on March 30 5:05 PM,IND.,2014-03-30 17:05:00,,2014-03-31 03:05:00
177,michigan,basketball,2014-11-15,REG,Hillsdale,,W,92,68,,1,0,W 1,Crisler Arena,0.0,24,2:00p,Hillsdale College on November 15 2:00 PM,MICH.,2014-11-15 14:00:00,,2014-11-16 00:00:00
178,michigan,basketball,2014-11-17,REG,Bucknell,Patriot,W,77,53,,2,0,W 2,Crisler Arena,0.0,24,8:00p,Bucknell on November 17 8:00 PM,MICH.,2014-11-17 20:00:00,,2014-11-18 06:00:00
179,michigan,basketball,2014-11-20,REG,Detroit Mercy,Horizon,W,71,62,,3,0,W 3,Crisler Arena,0.0,24,6:00p,Detroit on November 20 6:00 PM,MICH.,2014-11-20 18:00:00,,2014-11-21 04:00:00
180,michigan,basketball,2014-11-24,REG,Oregon,Pac-12,W,70,63,,4,0,W 4,Barclays Center,0.0,19,9:45p,Oregon on November 24 9:00 PM,N.Y.,2014-11-24 21:00:00,,2014-11-25 07:00:00
181,michigan,basketball,2014-11-25,REG,Villanova (12),Big East,L,55,60,,4,1,L 1,Barclays Center,0.0,19,10:15p,Villanova on November 25 10:00 PM,N.Y.,2014-11-25 22:00:00,12,2014-11-26 08:00:00
182,michigan,basketball,2014-11-29,REG,Nicholls State,Southland,W,91,62,,5,1,W 1,Crisler Arena,0.0,19,4:00p,Nicholls State on November 29 4:00 PM,MICH.,2014-11-29 16:00:00,,2014-11-30 02:00:00
183,michigan,basketball,2014-12-02,REG,Syracuse,ACC,W,68,65,,6,1,W 2,Crisler Arena,0.0,17,7:30p,Syracuse on December 2 7:30 PM,MICH.,2014-12-02 19:30:00,,2014-12-03 05:30:00
184,michigan,basketball,2014-12-06,REG,NJIT,Ind,L,70,72,,6,2,L 1,Crisler Arena,0.0,17,12:00p,NJIT on December 6 12:00 PM,MICH.,2014-12-06 12:00:00,,2014-12-06 22:00:00
185,michigan,basketball,2014-12-09,REG,Eastern Michigan,MAC,L,42,45,,6,3,L 2,Crisler Arena,0.0,-,9:00p,Eastern Michigan on December 9 9:00 PM,MICH.,2014-12-09 21:00:00,,2014-12-10 07:00:00
186,michigan,basketball,2014-12-13,REG,Arizona (3),Pac-12,L,53,80,,6,4,L 3,McKale Center,0.0,-,5:15p,Arizona on December 13 3:25 PM,ARIZ.,2014-12-13 17:25:00,3,2014-12-14 03:25:00
187,michigan,basketball,2014-12-20,REG,Southern Methodist,AAC,L,51,62,,6,5,L 4,Crisler Arena,0.0,-,12:00p,SMU on December 20 12:00 PM,MICH.,2014-12-20 12:00:00,,2014-12-20 22:00:00
188,michigan,basketball,2014-12-22,REG,Coppin State,MEAC,W,72,56,,7,5,W 1,Crisler Arena,0.0,-,8:00p,Coppin State on December 22 8:00 PM,MICH.,2014-12-22 20:00:00,,2014-12-23 06:00:00
189,michigan,basketball,2014-12-30,REG,Illinois,Big Ten,W,73,65,OT,8,5,W 2,Crisler Arena,0.0,-,3:00p,Illinois on December 30 3:00 PM,MICH.,2014-12-30 15:00:00,,2014-12-31 01:00:00
190,michigan,basketball,2015-01-03,REG,Purdue,Big Ten,L,51,64,,8,6,L 1,Mackey Arena,0.0,-,2:15p,Purdue on January 3 2:15 PM,IND.,2015-01-03 14:15:00,,2015-01-04 00:15:00
191,michigan,basketball,2015-01-06,REG,Penn State,Big Ten,W,73,64,,9,6,W 1,Bryce Jordan Center,0.0,-,7:00p,Penn State on January 6 7:00 PM,PA.,2015-01-06 19:00:00,,2015-01-07 05:00:00
