INCIDENT_DATE,INCIDENT_HOUR,INCIDENT_ID,NAME,AGENCY_ID,Day
2013-03-15,9.0,69059920,Destruction/Damage/Vandalism of Property,9040,Friday
2013-04-01,12.0,69058135,Shoplifting,9040,Monday
2013-04-05,16.0,69058156,Simple Assault,9040,Friday
2013-04-05,19.0,69058158,Theft From Building,9040,Friday
2013-04-13,2.0,69058997,Destruction/Damage/Vandalism of Property,9040,Saturday
2013-07-17,10.0,69060835,Theft From Building,9040,Wednesday
2013-11-26,9.0,69063616,Theft From Building,9040,Tuesday
2013-03-19,1.0,69058080,Simple Assault,9040,Tuesday
2013-03-23,15.0,69058983,Theft From Building,9040,Saturday
2013-06-02,0.0,69059932,Simple Assault,9040,Sunday
2013-11-04,12.0,69063554,Theft From Building,9040,Monday
2013-02-17,15.0,69057182,Theft From Building,9040,Sunday
2013-02-17,15.0,69057182,Stolen Property Offenses,9040,Sunday
2013-04-13,15.0,69058998,Theft From Building,9040,Saturday
2013-06-02,19.0,69059933,Simple Assault,9040,Sunday
2013-07-26,23.0,69060854,Drug/Narcotic Violations,9040,Friday
2013-09-10,13.0,69061796,All Other Larceny,9040,Tuesday
2013-02-05,17.0,69057167,Theft From Building,9040,Tuesday
2013-04-30,9.0,69059071,Destruction/Damage/Vandalism of Property,9040,Tuesday
2013-04-22,14.0,69059053,Theft From Building,9040,Monday
2013-08-31,13.0,69061741,Burglary/Breaking & Entering,9040,Saturday
2013-09-10,12.0,69061788,Shoplifting,9040,Tuesday
2013-09-24,18.0,69062626,Theft From Building,9040,Tuesday
2013-10-21,19.0,69063524,Theft From Building,9040,Monday
2013-11-22,22.0,69063603,Drug/Narcotic Violations,9040,Friday
2013-11-01,0.0,69064491,Theft From Building,9040,Friday
2013-11-27,5.0,69064406,Burglary/Breaking & Entering,9040,Wednesday
2013-12-18,8.0,69064463,Shoplifting,9040,Wednesday
2013-01-31,13.0,69057129,Theft From Building,9040,Thursday
2013-01-10,22.0,69056267,Burglary/Breaking & Entering,9040,Thursday
2013-03-27,16.0,69058122,Theft From Building,9040,Wednesday
2013-07-26,12.0,69062676,Theft From Building,9040,Friday
2013-02-01,12.0,69060847,Intimidation,9040,Friday
2013-08-30,12.0,69061738,Drug/Narcotic Violations,9040,Friday
2013-08-06,11.0,69060881,Simple Assault,9040,Tuesday
2013-08-06,11.0,69060881,Pocket-picking,9040,Tuesday
2013-08-06,11.0,69060881,Destruction/Damage/Vandalism of Property,9040,Tuesday
2013-05-26,15.0,69059918,All Other Larceny,9040,Sunday
2013-07-19,9.0,69061708,Burglary/Breaking & Entering,9040,Friday
2013-07-04,20.0,69060786,Destruction/Damage/Vandalism of Property,9040,Thursday
2013-09-01,3.0,69061740,Drug/Narcotic Violations,9040,Sunday
2013-09-09,17.0,69061785,Theft From Building,9040,Monday
2013-11-06,19.0,69063560,Simple Assault,9040,Wednesday
2013-04-02,16.0,69058141,Destruction/Damage/Vandalism of Property,9040,Tuesday
2013-05-13,9.0,69059899,Destruction/Damage/Vandalism of Property,9040,Monday
